date,metric,value_millions,value_billions
2013-10-11,ir_uncleared,205911795.0,205911.795
2013-10-18,credit_cleared,2199880.0,2199.88
2013-10-18,credit_total,9341812.0,9341.812
2013-10-18,credit_uncleared,7141932.0,7141.932
2013-10-18,cross_currency_cleared,0.0,0.0
2013-10-18,cross_currency_total,13104848.0,13104.848
2013-10-18,cross_currency_uncleared,13104848.0,13104.848
2013-10-18,equity_cleared,,
2013-10-18,equity_total,4420000.0,4420.0
2013-10-18,equity_uncleared,,
2013-10-18,fx_cleared,,
2013-10-18,fx_total,31450000.0,31450.0
2013-10-18,fx_uncleared,,
2013-10-18,ir_cleared,187919849.0,187919.849
2013-10-18,ir_total,312432331.0,312432.331
2013-10-18,ir_uncleared,124512482.0,124512.482
2013-10-25,credit_cleared,2179209.0,2179.209
2013-10-25,credit_total,9212082.0,9212.082
2013-10-25,credit_uncleared,7243293.0,7243.293
2013-10-25,cross_currency_cleared,0.0,0.0
2013-10-25,cross_currency_total,13086357.0,13086.357
2013-10-25,cross_currency_uncleared,13086357.0,13086.357
2013-10-25,equity_cleared,,
2013-10-25,equity_total,4420000.0,4420.0
2013-10-25,equity_uncleared,,
2013-10-25,fx_cleared,,
2013-10-25,fx_total,31450000.0,31450.0
2013-10-25,fx_uncleared,,
2013-10-25,ir_cleared,191874160.0,191874.16
2013-10-25,ir_total,316545549.0,316545.549
2013-10-25,ir_uncleared,124671389.0,124671.389
2013-11-01,credit_cleared,2168663.0,2168.663
2013-11-01,credit_total,9443358.0,9443.358
2013-11-01,credit_uncleared,7274695.0,7274.695
2013-11-01,cross_currency_cleared,0.0,0.0
2013-11-01,cross_currency_total,13020338.0,13020.338
2013-11-01,cross_currency_uncleared,13020338.0,13020.338
2013-11-01,equity_cleared,,
2013-11-01,equity_total,4420000.0,4420.0
2013-11-01,equity_uncleared,,
2013-11-01,fx_cleared,,
2013-11-01,fx_total,31450000.0,31450.0
2013-11-01,fx_uncleared,,
2013-11-01,ir_cleared,193208931.0,193208.931
2013-11-01,ir_total,316965964.0,316965.964
2013-11-01,ir_uncleared,123757034.0,123757.034
2013-11-08,credit_cleared,2186928.0,2186.928
2013-11-08,credit_total,9052362.0,9052.362
2013-11-08,credit_uncleared,6865434.0,6865.434
2013-11-08,cross_currency_cleared,0.0,0.0
2013-11-08,cross_currency_total,13054556.0,13054.556
2013-11-08,cross_currency_uncleared,13054556.0,13054.556
2013-11-08,equity_cleared,,
2013-11-08,equity_total,4420000.0,4420.0
2013-11-08,equity_uncleared,,
2013-11-08,fx_cleared,,
2013-11-08,fx_total,31450000.0,31450.0
