category,quarter,amount,table
Cost-Based,2023Q2,1841,Tab.2.16
Level 1,2023Q3,3138,Tab.2.16
Level 2,2023Q3,2176,Tab.2.16
Level 3,2023Q3,1598,Tab.2.16
Cost-Based,2023Q3,1839,Tab.2.16
Level 1,2023Q4,3923,Tab.2.16
Level 2,2023Q4,2421,Tab.2.16
Level 3,2023Q4,1734,Tab.2.16
Cost-Based,2023Q4,2122,Tab.2.16
Level 1,2024Q1,3949,Tab.2.16
Level 2,2024Q1,2440,Tab.2.16
Level 3,2024Q1,1739,Tab.2.16
Cost-Based,2024Q1,2133,Tab.2.16
Level 1,2024Q2,3953,Tab.2.16
Level 2,2024Q2,2450,Tab.2.16
Level 3,2024Q2,1746,Tab.2.16
Cost-Based,2024Q2,2125,Tab.2.16
Level 1,2024Q3,3973,Tab.2.16
Level 2,2024Q3,2465,Tab.2.16
Level 3,2024Q3,1756,Tab.2.16
Cost-Based,2024Q3,2140,Tab.2.16
Level 1,2024Q4,4617,Tab.2.16
Level 2,2024Q4,2626,Tab.2.16
Level 3,2024Q4,1834,Tab.2.16
Cost-Based,2024Q4,2112,Tab.2.16
Level 1,2025Q1,4640,Tab.2.16
Level 2,2025Q1,2639,Tab.2.16
Level 3,2025Q1,1855,Tab.2.16
Cost-Based,2025Q1,2118,Tab.2.16
Level 1,2013Q1,981,Tab.2.17
Level 2,2013Q1,339,Tab.2.17
Level 3,2013Q1,20,Tab.2.17
Cost-Based,2013Q1,280,Tab.2.17
Level 1,2013Q2,982,Tab.2.17
Level 2,2013Q2,385,Tab.2.17
Level 3,2013Q2,19,Tab.2.17
Cost-Based,2013Q2,296,Tab.2.17
Level 1,2013Q3,987,Tab.2.17
Level 2,2013Q3,390,Tab.2.17
Level 3,2013Q3,20,Tab.2.17
Cost-Based,2013Q3,298,Tab.2.17
Level 1,2013Q4,916,Tab.2.17
Level 2,2013Q4,466,Tab.2.17
Level 3,2013Q4,19,Tab.2.17
Cost-Based,2013Q4,650,Tab.2.17
Level 1,2014Q1,922,Tab.2.17
Level 2,2014Q1,478,Tab.2.17
Level 3,2014Q1,20,Tab.2.17
Cost-Based,2014Q1,648,Tab.2.17
Level 1,2014Q2,928,Tab.2.17
Level 2,2014Q2,461,Tab.2.17
Level 3,2014Q2,20,Tab.2.17
Cost-Based,2014Q2,640,Tab.2.17
Level 1,2014Q3,925,Tab.2.17
Level 2,2014Q3,465,Tab.2.17
Level 3,2014Q3,22,Tab.2.17
Cost-Based,2014Q3,642,Tab.2.17
Level 1,2014Q4,1091,Tab.2.17
